IDPROV,NombreProv,Censo1996,Vot1996,Parti1996,VBlan1996,PP_1996,PSOE_1996,IU_1996,CIU_1996,EAJPN_1996,OTROS1996,Censo2000,Vot2000,Parti2000,VBlan2000,PP_2000,PSOE_2000,IU_2000,CIU_2000,EAJPN_2000,OTROS2000,Censo2004,Vot2004,Parti2004,VBlan2004,PSOE_2004,PP_2004,IU_2004,CIU_2004,ERC_2004,OTROS2004,Censo2008,Vot2008,Parti2008,VBlan2008,PSOE2008,PP_2008,IU_2008,CIU_2008,EAJPN_2008,OTROS2008,Censo2011,Vot2011,Partici2011,VBlan2011,PP_2011,PSOE_2011,IU_2011,UPYD_2011,CIU_2011,OTROS2011,Censo2016,Vot2016,Particip,VBlan2016,PP_2016,PSOE_2016,PODEM_2016,Cs_2016,UPC2015,Otros2016
01,Araba - Álava                                     ,233572,168884,71.68,2490,27.31,25.42,11.67,0.00,20.16,15.43,244477,171808,69.33,5163,39.10,24.30,5.61,0.00,20.74,10.25,247377,191049,73.71,2626,30.79,26.87,7.78,0.00,0.00,34.57,247930,172644,68.81,2588,40.73,26.54,4.17,0.00,18.75,9.81,250743,172154,67.57,1924,27.17,23.43,4.08,2.75,0.00,42.56,254579,167640,65.85,1078,20.45,15.74,30.92,4.99,3.81,27.91
02,Albacete                                          ,283851,236965,83.06,2289,44.66,43.89,9.62,0.00,0.00,1.84,295105,223053,75.07,3484,51.19,41.20,4.99,0.00,0.00,2.62,298780,236833,78.66,4372,46.26,46.95,3.89,0.00,0.00,2.90,303228,241550,79.09,2717,45.74,47.37,3.38,0.00,0.00,3.51,309456,235515,75.07,3082,55.09,30.12,6.17,5.00,0.00,3.62,310083,219473,70.78,1430,40.88,27.16,15.27,14.57,4.03,2.12
03,Alicante / Alacant                                ,1027866,841562,81.42,6997,45.69,40.05,10.61,0.00,0.00,3.66,1104940,810346,72.85,9319,54.26,34.79,5.34,0.00,0.00,5.61,1154729,895123,77.03,12342,42.12,48.88,3.91,0.00,0.31,4.78,1194069,940191,78.25,7535,41.12,52.43,2.26,0.00,0.00,4.20,1222109,898402,72.61,10124,55.21,26.97,6.50,5.60,0.00,5.73,1253296,875169,69.83,4838,37.66,21.42,22.08,15.83,3.71,3.00
04,Almería                                           ,375375,289733,76.80,1890,40.21,47.10,9.91,0.00,0.00,2.78,411065,280112,67.74,3931,48.67,42.26,4.22,0.00,0.00,4.85,427310,307389,71.57,4197,47.69,44.28,3.11,0.00,0.00,4.91,449915,327332,72.42,2528,42.01,49.88,2.69,0.00,0.00,5.42,469594,315504,66.64,3490,57.60,29.88,5.26,3.91,0.00,3.36,491496,306674,62.40,2213,42.98,27.71,13.23,13.66,3.52,2.42
05,Ávila                                             ,144811,117513,80.59,1171,58.70,30.44,7.69,0.00,0.00,3.17,145250,108491,73.86,1842,65.31,26.66,4.77,0.00,0.00,3.27,143641,114712,79.07,1997,34.02,59.54,3.17,0.00,0.00,3.28,143967,115806,79.76,1156,35.05,58.58,2.60,0.00,0.00,3.77,142578,107457,74.33,1233,61.90,22.91,4.53,7.75,0.00,2.90,139218,98917,71.05,717,51.49,19.49,12.66,14.25,3.80,2.11
06,Badajoz                                           ,516297,428785,82.72,3081,39.16,48.77,9.94,0.00,0.00,2.13,534100,401608,74.60,4810,47.00,44.77,5.37,0.00,0.00,2.85,538650,427261,78.76,5578,51.66,41.65,3.91,0.00,0.00,2.77,547436,430258,78.09,3595,52.34,41.78,3.09,0.00,0.00,2.79,557468,414102,73.34,4832,50.65,37.59,5.95,3.47,0.00,2.34,558228,377949,67.71,2719,39.58,35.29,12.48,10.69,3.09,1.95
07,Illes Balears                                     ,606329,434288,71.21,4318,45.13,35.95,7.69,0.00,0.00,11.22,652009,400559,61.03,5943,53.87,29.28,4.00,0.00,0.00,12.84,687834,473481,68.35,9073,39.48,45.89,0.00,0.00,0.00,14.63,706938,477662,66.99,6026,44.23,43.97,2.84,0.00,0.00,8.96,730740,445488,59.98,7941,49.59,28.87,4.94,4.23,0.00,12.38,772939,464787,60.13,4226,35.08,20.09,25.41,14.57,2.39,4.86
08,Barcelona                                         ,3905255,2993424,76.43,20365,18.37,40.32,8.74,27.43,0.00,5.14,4033017,2572428,63.51,36486,23.53,35.51,2.50,26.30,0.00,12.16,4007330,3052310,75.96,27979,41.66,15.95,6.51,19.28,14.09,2.51,3980181,2812062,70.33,42672,46.77,16.81,5.56,19.58,0.00,11.28,4028117,2654927,64.93,46738,20.93,27.80,9.07,1.27,27.15,13.77,4131319,2643933,64.00,21081,13.53,16.82,26.26,11.54,0.00,31.85
09,Burgos                                            ,300885,235133,77.53,3753,54.37,30.78,11.09,0.00,0.00,3.75,303453,223332,73.12,5704,58.36,29.01,4.58,0.00,0.00,8.05,303177,237291,77.71,6046,38.93,51.96,3.27,0.00,0.00,5.84,302302,234130,77.03,3236,40.46,50.51,2.89,0.00,0.00,6.14,303109,217328,70.63,3952,54.21,27.97,5.55,7.52,0.00,4.75,300243,206981,68.94,1812,42.90,22.09,17.25,14.67,4.70,3.09
10,Cáceres                                           ,339901,276120,80.84,2000,42.01,47.90,7.30,0.00,0.00,2.79,344192,260785,75.17,2795,47.76,44.62,3.66,0.00,0.00,3.96,346760,274549,78.56,3311,50.53,43.54,2.78,0.00,0.00,3.15,349247,274065,77.87,2245,52.21,41.85,2.72,0.00,0.00,3.21,352097,258199,72.14,2941,52.04,36.55,5.28,3.44,0.00,2.69,349082,236205,67.66,1539,40.40,33.35,14.04,10.31,0.00,1.91
