Year	GDP	PIB	PM_Total	PM_19_24	PM_20_24	PM_25_54	PM_55	PH_Total	PH_19_24	PH_20_24	PH_25_54	PH_55	Paro_Total
2002	18088	198529	16	40.22	24.52	14.7	9.29	8.65	26.76	18.18	7.21	6.04	11.61
2003	19041	212763	15.41	39.71	24.76	14.14	8.84	8.58	27.52	17.41	7.35	5.6	11.37
2004	20099	228714	14.35	36.92	23.7	13.25	7.93	7.83	24.4	15.81	6.63	6.25	10.53
2005	21313	247270	11.47	34.23	18.97	10.4	6.48	6.73	23.47	13.91	5.62	5.17	8.71
2006	22722	267579	11.17	39.81	18.2	9.96	7.14	6.12	25.44	10.67	5.28	4.45	8.26
2007	23893	287159	10.82	37.5	17.33	9.78	7.21	6.89	26.76	13.37	5.9	5.06	8.57
2008	24274	288435	14.85	47.35	23.56	13.59	10.5	12.96	44.69	25.3	11.77	7.23	13.79
2009	23271	280972	18.8	58.64	32.43	17.5	12.92	18.56	56.78	36.66	17.05	12.14	18.66
2010	23214	281805	20.51	65.42	36.09	19.27	13	19.8	62.37	40.35	18.08	14.57	20.11
2011	22903	274975	22.92	69.11	41.73	21.7	15	22.26	69.19	46.18	20.6	16.11	22.56
2012	22233	265299	26.22	75.06	50.12	24.84	18	25.4	72.95	52.58	23.86	18.16	25.77
2013	22013	265292	26.53	76.43	50.22	25.2	19	25.04	74.85	51.56	23.23	19.74	25.73
2014	22323	270438	24.74	72.04	48.44	23.48	17.92	22.8	63.28	49.27	20.89	19.94	23.7
2015	23177	282199	22.52	70.97	43.2	21.39	17.65	19.49	62.49	41.93	17.68	17.63	20.9
2016	23970	291279	20.25	64.02	39.31	19.22	16.24	17.22	54.62	40.29	15.4	15.91	18.63
2017	24999	303869	18.35	54.74	33.74	17.45	14.93	14.97	53.79	34.14	13.27	13.92	16.55
